ID,Nombre,Idioma,Estreno
1,Under the Dome,English,2013-06-24
2,Person of Interest,English,2011-09-22
3,Bitten,English,2014-01-11
4,Arrow,English,2012-10-10
5,True Detective,English,2014-01-12
6,The 100,English,2014-03-19
7,Homeland,English,2011-10-02
8,Glee,English,2009-05-19
9,Revenge,English,2011-09-21
10,Grimm,English,2011-10-28
11,Gotham,English,2014-09-22
12,Lost Girl,English,2010-09-12
13,The Flash,English,2014-10-07
14,Continuum,English,2012-05-27
15,Constantine,English,2014-10-24
16,Penny Dreadful,English,2014-05-11
18,The Amazing Race,English,2001-09-05
19,Supernatural,English,2005-09-13
20,The Strain,English,2014-07-13
21,The Last Ship,English,2014-06-22
22,True Blood,English,2008-09-07
23,Once Upon a Time in Wonderland,English,2013-10-10
24,Hawaii Five-0,English,2010-09-20
25,Hellsing,Japanese,2001-10-10
26,Hellsing Ultimate,Japanese,2006-02-10
27,Berserk,Japanese,1997-10-07
28,Californication,English,2007-08-13
29,Vikings,English,2013-03-03
30,American Horror Story,English,2011-10-05
31,Marvel's Agents of S.H.I.E.L.D.,English,2013-09-24
32,Fargo,English,2014-04-15
33,Hemlock Grove,English,2013-04-19
34,Helix,English,2014-01-10
35,The Killing,English,2011-04-03
37,Intruders,English,2014-08-23
38,Z Nation,English,2014-09-12
39,Resurrection,English,2014-03-09
40,Death Note,Japanese,2006-10-03
41,Last Man Standing,English,2011-10-11
42,Sleepy Hollow,English,2013-09-16
43,Outlander,English,2014-08-09
44,Scorpion,English,2014-09-22
45,NCIS: New Orleans,English,2014-09-23
46,Forever,English,2014-09-22
47,Witches of East End,English,2013-10-06
48,Madam Secretary,English,2014-09-21
49,Brooklyn Nine-Nine,English,2013-09-17
50,The Lottery,English,2014-07-20
51,The Knick,English,2014-08-08
52,How to Get Away with Murder,English,2014-09-25
53,Nashville,English,2012-10-10
54,Legends,English,2014-08-13
55,Red Band Society,English,2014-09-17
56,Chicago P.D.,English,2014-01-08
57,black-ish,English,2014-09-24
58,New Girl,English,2011-09-20
59,Chicago Fire,English,2012-10-10
60,NCIS,English,2003-09-23
61,Orphan Black,English,2013-03-30
62,The Originals,English,2013-10-03
63,The Vampire Diaries,English,2009-09-10
64,Utopia,English,2013-01-15
65,Bones,English,2005-09-13
66,The Big Bang Theory,English,2007-09-24
67,Grey's Anatomy,English,2005-03-27
68,Castle,English,2009-03-09
69,The Blacklist,English,2013-09-23
70,The Voice,English,2011-04-26
71,Dancing with the Stars,English,2005-06-01
72,NCIS: Los Angeles,English,2009-09-22
73,The Walking Dead,English,2010-10-31
74,Hell on Wheels,English,2011-11-06
75,The Mindy Project,English,2012-09-25
76,Sons of Anarchy,English,2008-09-03
77,The Middle,English,2009-09-30
78,The Mysteries of Laura,English,2014-09-17
79,The Goldbergs,English,2013-09-24
80,Modern Family,English,2009-09-23
81,Criminal Minds,English,2005-09-22
82,Game of Thrones,English,2011-04-17
83,The Simpsons,English,1989-12-17
84,Family Guy,English,1999-01-31
86,Stalker,English,2014-10-01
87,The Bridge,English,2013-07-10
88,Reign,English,2013-10-17
89,Unforgettable,English,2011-09-20
90,Haven,English,2010-07-09
91,Bad Judge,English,2014-10-02
92,A to Z,English,2014-10-02
93,Parenthood,English,2010-03-02
94,Defiance,English,2013-04-15
95,Falling Skies,English,2011-06-19
96,Manhattan Love Story,English,2014-09-30
97,The Biggest Loser,English,2004-10-19
98,Scandal,English,2012-04-05
99,America's Next Top Model,English,2003-05-20
100,Blue Bloods,English,2010-09-24
101,The Good Wife,English,2009-09-22
102,Boardwalk Empire,English,2010-09-19
103,Law & Order: Special Victims Unit,English,1999-09-20
104,Dominion,English,2014-06-19
105,From Dusk Till Dawn: The Series,English,2014-03-11
106,Justified,English,2010-03-16
107,Bob's Burgers,English,2011-01-09
108,Mulaney,English,2014-10-05
109,CSI: Crime Scene Investigation,English,2000-10-06
110,Gracepoint,English,2014-10-02
111,Once Upon a Time,English,2011-10-23
112,South Park,English,1997-08-13
114,Survivor,English,2000-05-31
115,King of the Hill,English,1997-01-12
116,The Mentalist,English,2008-09-23
